Title,URL,Location
Part Time - Houseperson - ZYPRA,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124326/apply/email,"United States, California, Monterey"
Housekeeper/Guest Room Cleaner (Full Time) - InterContinental Houston,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122436/apply/email,"United States, Texas, Houston"
HVAC Engineer- InterContinental Boston,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124331/apply/email,"United States, Massachusetts, Boston"
Breakfast Team Member (Part-Time),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124322/apply/email,"United Kingdom, Glasgow"
Front Office Manager (m/f/d),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124320/apply/email,"Germany, Berlin"
Front Desk Agent - MFWAK,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124308/apply/email,"United States, Alaska, Fort Wainwright"
Houseperson,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/118425/apply/email,"United States, Oklahoma, Fort Sill"
Senior F&B Server - Events Centre - InterContinental® Hotel Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124319/apply/email,"United Arab Emirates, Dubai"
Bar Team Leader (Full-Time),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124315/apply/email,"United Kingdom, Edinburgh"
Bartender (Part-Time),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124314/apply/email,"United Kingdom, Edinburgh"
Specialist R2R,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124302/apply/email,"India, Gurgaon"
Instant Service Agent - voco Dubai,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124317/apply/email,"United Arab Emirates, Dubai"
Shift Engineer (HVAC),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124311/apply/email,"India, New Delhi"
F&B Hostess & Experience Maker | InterContinental Cascais-Estoril,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124270/apply/email,"Portugal, Estoril"
Sales Manager (InterContinental Bahrain),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124309/apply/email,"Bahrain, Manama"
Director of Sales & Marketing at InterContinental Chiang Mai The Mae Ping,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124306/apply/email,"Thailand, Phang Na, Chiang Mai"
Sales Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124305/apply/email,"Philippines, Quezon City"
Food Runner - InterContinental Los Angeles Downtown,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123857/apply/email,"United States, California, Los Angeles"
